#node time(s) x y

0 0.0 193.18295788020265 198.04345919271466
1 0.0 192.00595689955935 195.2840825205829
2 0.0 182.3173707664051 210.47566409039288
3 0.0 181.36466011452922 202.2823828806604
4 0.0 197.533385803783 115.27864103367746
5 0.0 196.22352439967923 116.0506447574796
6 0.0 40.964901663778406 130.5017194302913
7 0.0 41.738180733249905 128.39691874784472
8 0.0 41.859313754632936 127.69009079391361
9 0.0 298.63240018116426 297.8345953114784
10 0.0 295.1237739336943 298.48631209789903
11 0.0 217.5886857260199 189.41871891695098
12 0.0 242.01720434142638 174.63508858928643
13 0.0 274.95694822301317 162.22709088427794
14 0.0 272.83374833044354 165.06522606959297
0 0.5 194.0051060157651 197.0912188146301
1 0.5 192.7436464289338 194.4369498754148
2 0.5 182.82510372765978 209.90001048487005
3 0.5 181.90195167599217 201.69856188486403
6 0.5 42.533945998772495 131.44808025415114
7 0.5 43.36149434070629 129.38597623133248
8 0.5 43.545684528747685 128.70337622070198
9 0.5 301.65749323650186 298.44231906199497
10 0.5 297.40679589570516 298.9886358743415
11 0.5 219.85471811212068 188.97250669418136
12 0.5 240.4293382495707 175.3754884007636
13 0.5 274.86480641896867 162.2198536500761
14 0.5 272.83646925162617 165.0355989157782
0 1.0 194.8272541513275 196.13897843654556
1 1.0 193.48133595830828 193.58981723024675
2 1.0 183.33283668891448 209.32435687934716
3 1.0 182.43924323745506 201.11474088906763
6 1.0 44.10299033376658 132.394441078011
7 1.0 44.98480794816267 130.37503371482026
8 1.0 45.23205530286242 129.71666164749038
9 1.0 302.87872617946874 297.7429817881969
10 1.0 298.77453336302057 298.22017108828385
11 1.0 222.12075049822147 188.5262944714117
12 1.0 238.84147215771495 176.11588821224075
13 1.0 274.7726646149242 162.21261641587427
14 1.0 272.8391901728088 165.00597176196342
0 1.5 195.64940228688997 195.186738058461
1 1.5 194.2190254876827 192.74268458507865
2 1.5 183.84056965016916 208.74870327382433
3 1.5 182.976534798918 200.53091989327123
6 1.5 45.672034668760666 133.3408019018708
7 1.5 46.60812155561905 131.36409119830802
8 1.5 46.91842607697717 130.72994707427878
9 1.5 303.2357381298227 296.4174376549579
10 1.5 299.7037622846322 296.84287741058824
11 1.5 224.3867828843222 188.08008224864207
12 1.5 237.2536060658593 176.85628802371787
13 1.5 274.68052281087967 162.20537918167238
14 1.5 272.8419110939914 164.97634460814865
0 2.0 196.4715504224524 194.23449768037645
1 2.0 194.95671501705718 191.89555193991058
2 2.0 184.34830261142386 208.17304966830147
3 2.0 183.51382636038096 199.94709889747486
6 2.0 47.24107900375475 134.28716272573064
7 2.0 48.23143516307543 132.35314868179577
8 2.0 48.604796851091905 131.74323250106715
9 2.0 303.59275008017676 295.0918935217189
10 2.0 300.6329912062438 295.4655837328925
11 2.0 226.652815270423 187.63387002587243
