#node time(s) x y

0 0.0 293.76143233577966 247.9804475107395
1 0.0 302.1248639140987 176.4574284621269
2 0.0 298.4618235192553 214.47569925855203
3 0.0 301.61820478202355 193.71216584126788
4 0.0 295.9988212938923 272.4153858774933
5 0.0 297.93549124525936 194.7324611767155
6 0.0 296.45032860521917 226.69493565723732
7 0.0 304.0665634853399 156.21536656281472
8 0.0 290.6465119222102 299.81855414530776
9 0.0 283.5178807199539 170.59130214089112
10 0.0 60.59001298132861 155.35069467023965
11 0.0 143.22505140626822 107.03974603135768
12 0.0 284.1342736486628 167.46818639033557
13 0.0 289.2622354027959 168.07885541947465
14 0.0 269.28334921715424 157.3191973262608
15 0.0 113.10453785770889 66.43916603284
16 0.0 25.22595466551291 72.9246273700065
17 0.0 112.77590164794776 6.796424183312117
18 0.0 114.58575260679343 8.5586371842023
19 0.0 109.26821311976997 8.080023083535732
20 0.0 114.86416393317792 6.668844583599869
21 0.0 114.84963662753414 7.735853225487131
22 0.0 109.44189325357573 12.043643000604025
23 0.0 315.8175713137266 207.95743243846678
24 0.0 315.6194371364039 207.97402501400336
25 0.0 315.8135394126941 206.13084352042284
26 0.0 314.92238718852053 200.66757205607695
27 0.0 309.23401459405557 202.42927359453512
28 0.0 307.26212271999367 203.80815336610056
29 0.0 317.1877952093734 208.48559399207568
0 0.5 293.8655725966119 246.7464193567948
1 0.5 302.49172717445407 173.7611790461022
2 0.5 298.6890162732192 213.27174894951247
3 0.5 302.1896771003588 190.21371293984302
4 0.5 296.0629936272296 271.82386642033816
5 0.5 298.08866118238456 192.50275602379708
6 0.5 296.63065266828215 225.6141515977774
8 0.5 290.71389498147295 299.1128254896137
10 0.5 60.42577295527815 156.42749087536964
11 0.5 143.92533091245647 107.358340721005
12 0.5 283.99067318319385 167.55849166959413
13 0.5 289.36810389721217 167.6307933572905
14 0.5 270.8033569054339 158.1239228479294
15 0.5 114.13000353918669 67.03284982380801
16 0.5 25.20814809720851 72.92806796767005
17 0.5 113.12700892298241 6.282287192977463
18 0.5 114.62316961482324 8.597169351309887
19 0.5 110.86803940634364 7.027481549776841
23 0.5 315.8481536359864 207.67605345775837
24 0.5 315.53499663077247 207.93975590313642
25 0.5 315.79701410577513 206.07356879734917
