#node time(s) x y

0 0.0 126.93279877638955 33.14278683600607
1 0.0 126.30399673852432 31.098084099204822
2 0.0 131.75870466279395 32.994894255066384
3 0.0 124.80831457685747 30.56133389491753
4 0.0 129.44012679766357 32.626253781162106
5 0.0 126.37430073387354 31.45369401725927
6 0.0 117.29700481709108 31.78198204873102
7 0.0 22.965913548047777 257.6908269297051
8 0.0 22.816159150007973 256.4359867277602
9 0.0 24.08038810719746 263.28078107294016
10 0.0 23.126524710608432 260.99927896497286
11 0.0 262.2587795331707 210.55495524535723
12 0.0 262.84739370522254 217.74960808244444
13 0.0 269.363130882713 214.48419196211276
14 0.0 233.09665607694677 200.5622338104819
15 0.0 226.61043795103365 126.13257116498112
16 0.0 247.51044434271475 198.9799033276915
17 0.0 130.55868251916004 103.84435598878335
18 0.0 225.3354666079565 136.14765292902035
19 0.0 253.36482716574847 205.25266415758426
20 0.0 253.52915317434744 225.98646903600945
21 0.0 251.76624997313226 209.5456521640688
22 0.0 261.51239537318133 225.1830254390157
23 0.0 185.50094334331706 122.21133681023187
24 0.0 181.87036229249873 120.57875700369169
25 0.0 183.6639487994328 120.46624444132887
26 0.0 180.52232008328 120.595390703124
27 0.0 185.14566136457273 125.42710541237184
28 0.0 183.13756567528787 106.3668414413059
29 0.0 185.32802400085956 124.62786656596484
0 0.5 128.67947320458512 33.93709648909431
1 0.5 127.85609260690222 31.56470065966612
2 0.5 133.82998110721536 33.61746564039009
3 0.5 127.08761042791127 31.419690620806577
4 0.5 131.05967042408895 33.170603959462746
5 0.5 127.80163350232131 32.17231421567898
6 0.5 119.84086934969876 32.49259542985832
9 0.5 22.98956266384417 263.55114693126916
14 0.5 235.13687499481824 201.02094237459667
15 0.5 226.9089871589497 127.08903360289125
16 0.5 247.98097104548933 200.44938227191767
17 0.5 131.75240601262152 105.0007445046957
18 0.5 225.6231354631913 137.062759194012
19 0.5 253.93730222763114 206.82362107626054
21 0.5 252.25583253029671 211.1532052273547
23 0.5 186.0126442347256 124.2712781318898
