#node time(s) x y

0 0.0 37.32367212642899 64.41611532725675
1 0.0 132.0659781260199 223.9466061421501
2 0.0 111.65865839436755 200.46011344027866
3 0.0 68.17407641055004 114.29538493122165
4 0.0 231.87777806931862 210.31970264979736
0 0.5 38.06319839602083 65.76772368069312
1 0.5 132.28787662661279 223.7463444382408
2 0.5 112.14880263410066 201.36912761357917
3 0.5 68.68764028224979 115.14933878563505
0 1.0 38.802724665612665 67.1193320341295
1 1.0 132.40940449942426 223.63666646017126
2 1.0 112.6389468738338 202.27814178687967
3 1.0 69.20120415394953 116.00329264004844
0 1.5 39.54225093520451 68.47094038756588
1 1.5 131.915855101995 223.7605664826001
2 1.5 113.12909111356691 203.18715596018015
3 1.5 69.71476802564928 116.85724649446183
0 2.0 40.281777204796356 69.82254874100224
1 2.0 130.40394398632714 224.14011475500678
2 2.0 113.61923535330003 204.09617013348068
3 2.0 70.22833189734904 117.71120034887524
0 2.5 41.02130347438819 71.17415709443861
1 2.5 128.8920328706593 224.51966302741351
2 2.5 114.10937959303317 205.0051843067812
3 2.5 70.74189576904877 118.56515420328864
0 3.0 41.76082974398003 72.52576544787499
1 3.0 127.38012175499148 224.89921129982022
2 3.0 114.59952383276627 205.91419848008167
3 3.0 71.25545964074851 119.41910805770203
0 3.5 42.500356013571874 73.87737380131136
1 3.5 125.86821063932362 225.27875957222693
2 3.5 115.08966807249938 206.82321265338217
3 3.5 71.76902351244826 120.27306191211542
0 4.0 43.23988228316371 75.22898215474774
1 4.0 124.35629952365578 225.65830784463367
2 4.0 115.57981231223252 207.73222682668268
3 4.0 72.282587384148 121.12701576652883
0 4.5 43.97940855275555 76.58059050818412
1 4.5 123.40798337655492 225.8963719421838
2 4.5 116.06995655196563 208.64124099998315
3 4.5 72.79615125584775 121.98096962094223
0 5.0 44.71893482234739 77.93219886162048
2 5.0 116.56010079169876 209.5502551732837
3 5.0 73.3097151275475 122.83492347535564
0 5.5 45.45846109193923 79.28380721505685
2 5.5 117.05024503143187 210.4592693465842
3 5.5 73.82327899924725 123.68887732976903
4 5.5 232.1211450614377 210.23549173106866
0 6.0 46.19798736153108 80.63541556849323
1 6.0 124.01221182638503 225.39475567352196
2 6.0 117.540389271165 211.3682835198847
3 6.0 74.33684287094698 124.54283118418242
4 6.0 232.9023845897155 209.96516378786396
0 6.5 46.93751363112291 81.9870239219296
1 6.5 125.20412054153687 224.4052610503406
2 6.5 118.03053351089812 212.27729769318518
3 6.5 74.85040674264674 125.39678503859582
4 6.5 233.68362411799336 209.69483584465928
0 7.0 47.67703990071475 83.33863227536598
1 7.0 126.3960292566887 223.41576642715933
2 7.0 118.52067775063122 213.1863118664857
3 7.0 75.36397061434648 126.25073889300923
4 7.0 234.2950911495862 209.48325332866403
0 7.5 48.416566170306595 84.69024062880234
1 7.5 127.58793797184055 222.426271803978
2 7.5 119.01082199036436 214.0953260397862
3 7.5 75.87753448604623 127.10469274742263
0 8.0 49.15609243989843 86.04184898223872
1 8.0 128.6418461455218 221.80762484669896
2 8.0 119.50096623009748 215.00434021308672
3 8.0 76.39109835774597 127.95864660183601
